step,epoch,loss_treino,lr,grad_norm,tokens_por_seg,gpu_mem_gb,elapsed_s
980,3,1.733616,2.964489e-04,0.5586,102190.4,0.615,26.5
1000,3,1.742643,2.962863e-04,0.4707,95536.4,0.615,26.9
1020,3,1.732200,2.961201e-04,0.7383,115374.2,0.615,27.3
1040,3,1.746702,2.959504e-04,0.5039,75978.4,0.615,27.7
1060,3,1.739547,2.957770e-04,0.5039,92493.3,0.615,28.1
1080,3,1.724537,2.956001e-04,0.4902,125977.1,0.615,28.6
1100,3,1.719795,2.954196e-04,0.4922,105377.2,0.615,29.1
1120,3,1.733336,2.952356e-04,0.8281,81103.2,0.615,29.5
1140,3,1.710887,2.950480e-04,1.0156,106657.9,0.615,30.0
1160,3,1.723929,2.948568e-04,0.6523,67947.3,0.615,30.5
1180,3,1.723515,2.946620e-04,0.8086,79618.1,0.615,31.0
1200,3,1.717255,2.944637e-04,0.6328,66651.4,0.615,31.4
1220,3,1.712006,2.942619e-04,0.6992,117585.8,0.615,31.9
1240,3,1.717485,2.940565e-04,0.5078,102821.9,0.615,32.4
1260,3,1.716927,2.938476e-04,0.5547,114392.1,0.615,32.8
1280,4,1.720145,2.936351e-04,0.7188,84081.4,0.615,35.3
1300,4,1.705698,2.934191e-04,0.5312,157639.5,0.615,35.8
1320,4,1.711174,2.931996e-04,0.5117,98972.4,0.615,36.2
1340,4,1.684466,2.929766e-04,0.4746,105010.8,0.615,36.7
1360,4,1.707389,2.927501e-04,0.6406,124507.9,0.615,37.2
1380,4,1.686180,2.925200e-04,0.5938,141232.6,0.615,37.6
1400,4,1.710956,2.922865e-04,0.9453,108319.2,0.615,38.0
1420,4,1.692147,2.920495e-04,0.7734,110705.7,0.615,38.4
1440,4,1.709677,2.918090e-04,0.7070,98442.1,0.615,38.8
1460,4,1.655212,2.915650e-04,0.4863,97827.6,0.615,39.2
1480,4,1.687933,2.913175e-04,0.6367,99926.4,0.615,39.6
1500,4,1.690807,2.910665e-04,0.5703,127240.0,0.615,40.1
1520,4,1.658721,2.908121e-04,0.7852,112688.5,0.615,40.5
1540,4,1.670938,2.905543e-04,0.7188,92064.2,0.615,41.0
1560,4,1.686060,2.902929e-04,0.8867,106689.4,0.615,41.5
1580,4,1.680050,2.900282e-04,0.8320,61688.8,0.615,42.0
1600,4,1.674045,2.897600e-04,0.5664,97186.6,0.615,42.4
1620,4,1.688883,2.894884e-04,0.9688,140088.0,0.615,42.9
1640,4,1.663947,2.892133e-04,0.4824,121090.5,0.615,43.3
1660,4,1.641930,2.889348e-04,0.6367,83315.5,0.615,43.8
1680,4,1.658829,2.886529e-04,0.5195,113941.8,0.615,44.2
1700,4,1.656412,2.883676e-04,0.6641,132649.6,0.615,44.7
1720,5,1.693110,2.880790e-04,0.6484,116473.4,0.615,47.1
1740,5,1.645214,2.877869e-04,0.5898,115050.4,0.615,47.6
1760,5,1.656896,2.874914e-04,0.7070,110287.9,0.615,48.0
1780,5,1.647444,2.871926e-04,0.5586,76836.7,0.615,48.5
1800,5,1.672287,2.868904e-04,0.6797,105588.4,0.615,49.0
1820,5,1.674627,2.865848e-04,0.6562,92564.5,0.615,49.4
1840,5,1.632921,2.862759e-04,0.5391,79536.6,0.615,49.8
1860,5,1.636626,2.859636e-04,0.5664,101402.3,0.615,50.2
1880,5,1.649709,2.856480e-04,0.5938,109896.2,0.615,50.6
1900,5,1.693243,2.853291e-04,0.7617,103097.5,0.615,51.0
1920,5,1.655879,2.850068e-04,0.5977,153844.4,0.615,51.4
1940,5,1.644914,2.846812e-04,0.9336,68398.4,0.615,51.9
1960,5,1.660973,2.843524e-04,0.7031,112633.6,0.615,52.4
1980,5,1.632239,2.840202e-04,0.5547,115309.6,0.615,52.8
2000,5,1.656025,2.836847e-04,0.7695,77254.4,0.615,53.3
2020,5,1.631663,2.833460e-04,0.5664,101472.0,0.615,53.8
2040,5,1.659902,2.830039e-04,0.5312,81598.5,0.615,54.3
2060,5,1.629056,2.826586e-04,0.5703,114545.9,0.615,54.8
2080,5,1.641495,2.823101e-04,0.5859,76453.3,0.615,55.3
2100,5,1.639139,2.819583e-04,0.7344,97176.7,0.615,55.7
2120,5,1.629943,2.816032e-04,0.5977,69593.1,0.615,56.2
2140,6,1.626619,2.812450e-04,0.5625,127514.3,0.615,58.6
2160,6,1.643012,2.808835e-04,0.5430,103755.3,0.615,59.1
2180,6,1.654087,2.805188e-04,0.7852,79721.9,0.615,59.6
2200,6,1.643532,2.801509e-04,0.6133,101950.0,0.615,60.0
2220,6,1.621974,2.797798e-04,0.5078,93282.7,0.615,60.5
2240,6,1.629193,2.794055e-04,0.6328,130698.5,0.615,61.0
2260,6,1.647436,2.790280e-04,0.6992,90929.5,0.615,61.4
2280,6,1.635134,2.786473e-04,0.6758,99342.8,0.615,61.8
2300,6,1.634201,2.782636e-04,0.5117,134875.3,0.615,62.2
2320,6,1.682354,2.778766e-04,1.0000,115033.5,0.615,62.6
2340,6,1.637215,2.774865e-04,0.5195,167600.9,0.615,63.0
2360,6,1.658247,2.770933e-04,0.8750,137529.7,0.615,63.4
2380,6,1.630093,2.766970e-04,0.6641,124798.0,0.615,63.9
2400,6,1.625157,2.762975e-04,0.6484,98352.4,0.615,64.4
2420,6,1.614011,2.758950e-04,0.6797,78183.6,0.615,64.8
2440,6,1.650400,2.754893e-04,0.5312,64351.7,0.615,65.3
2460,6,1.661875,2.750806e-04,0.6016,66018.4,0.615,65.8
2480,6,1.655045,2.746688e-04,0.8359,85921.0,0.615,66.3
2500,6,1.655507,2.742539e-04,0.6367,90923.4,0.615,66.8
2520,6,1.643500,2.738360e-04,0.6953,93448.0,0.615,67.2
2540,6,1.641578,2.734151e-04,0.5938,98525.0,0.615,67.7
2560,7,1.614766,2.729911e-04,0.5508,120544.6,0.615,70.1
2580,7,1.636111,2.725641e-04,0.6719,95701.6,0.615,70.6
2600,7,1.617124,2.721341e-04,0.5859,108928.3,0.615,71.0
2620,7,1.628503,2.717011e-04,0.5781,73748.9,0.615,71.5
2640,7,1.643395,2.712651e-04,0.5586,67980.5,0.615,72.0
2660,7,1.657068,2.708261e-04,0.4941,101664.3,0.615,72.4
2680,7,1.609593,2.703842e-04,0.5898,123931.4,0.615,72.9
2700,7,1.643596,2.699393e-04,0.7539,75146.0,0.615,73.3
2720,7,1.635664,2.694915e-04,0.5352,119439.3,0.615,73.7
2740,7,1.632579,2.690407e-04,0.7070,124731.0,0.615,74.1
2760,7,1.672371,2.685870e-04,0.6680,126213.9,0.615,74.5
2780,7,1.637222,2.681304e-04,0.5312,95060.7,0.615,74.9
2800,7,1.639332,2.676709e-04,0.6367,89265.9,0.615,75.4
2820,7,1.647597,2.672085e-04,0.6914,73159.8,0.615,75.9
2840,7,1.616124,2.667432e-04,0.5625,125363.5,0.615,76.4
2860,7,1.641657,2.662751e-04,0.5938,62054.1,0.615,76.9
2880,7,1.629941,2.658041e-04,0.5273,97156.0,0.615,77.4
2900,7,1.625860,2.653302e-04,0.6211,89784.2,0.615,77.9
2920,7,1.619129,2.648536e-04,0.3906,112793.2,0.615,78.4
2940,7,1.637654,2.643741e-04,0.5234,104041.0,0.615,78.9
2960,7,1.622007,2.638918e-04,0.5625,128691.8,0.615,79.4
2980,7,1.628286,2.634067e-04,0.8242,123624.0,0.615,79.8
3000,8,1.647868,2.629188e-04,0.6250,116089.6,0.615,82.2
3020,8,1.639819,2.624281e-04,0.4453,94191.6,0.615,82.6
3040,8,1.634188,2.619347e-04,0.8164,79304.8,0.615,83.1
3060,8,1.631215,2.614386e-04,0.4941,91635.1,0.615,83.6
3080,8,1.649170,2.609397e-04,0.5273,115105.3,0.615,84.1
3100,8,1.633757,2.604380e-04,0.5430,118987.3,0.615,84.5
3120,8,1.626768,2.599337e-04,0.5898,113704.9,0.615,85.0
3140,8,1.624108,2.594267e-04,0.5586,94561.8,0.615,85.4
3160,8,1.610067,2.589169e-04,0.6172,152641.7,0.615,85.8
3180,8,1.625746,2.584046e-04,0.4316,105661.7,0.615,86.2
3200,8,1.623063,2.578895e-04,0.4746,89124.3,0.615,86.5
3220,8,1.635059,2.573718e-04,0.5898,83846.2,0.615,87.0
3240,8,1.627930,2.568514e-04,0.7422,84969.4,0.615,87.5
3260,8,1.635231,2.563285e-04,0.5469,75743.2,0.615,87.9
3280,8,1.644317,2.558029e-04,0.7070,64628.3,0.615,88.4
3300,8,1.620156,2.552747e-04,0.4805,117724.8,0.615,88.9
3320,8,1.611626,2.547440e-04,0.6094,96711.5,0.615,89.3
3340,8,1.610436,2.542106e-04,0.4824,126240.1,0.615,89.8
3360,8,1.622571,2.536747e-04,0.5664,93923.7,0.615,90.3
3380,8,1.625657,2.531363e-04,0.6641,83294.1,0.615,90.8
3400,8,1.655945,2.525953e-04,0.8789,83041.1,0.615,91.2
3420,9,1.617383,2.520519e-04,0.7383,135058.6,0.615,93.6
3440,9,1.621358,2.515059e-04,0.5117,136415.8,0.615,94.1
3460,9,1.633051,2.509574e-04,0.7383,92595.0,0.615,94.6
3480,9,1.630933,2.504064e-04,0.5391,78527.5,0.615,95.1
3500,9,1.621693,2.498530e-04,0.5820,101925.9,0.615,95.6
3520,9,1.633781,2.492971e-04,0.5547,93174.9,0.615,96.1
3540,9,1.636396,2.487388e-04,0.5547,79033.0,0.615,96.5
3560,9,1.640511,2.481780e-04,0.7227,89434.7,0.615,96.9
3580,9,1.605935,2.476149e-04,0.5391,138233.2,0.615,97.4
3600,9,1.643351,2.470493e-04,0.6758,82683.7,0.615,97.8
3620,9,1.622137,2.464814e-04,0.4844,112720.6,0.615,98.1
3640,9,1.616420,2.459111e-04,0.7266,117222.3,0.615,98.6
3660,9,1.618327,2.453384e-04,0.5820,97592.5,0.615,99.0
3680,9,1.622602,2.447634e-04,0.5977,86895.7,0.615,99.5
3700,9,1.594805,2.441861e-04,0.4102,134545.4,0.615,100.0
3720,9,1.606423,2.436065e-04,0.5469,83818.5,0.615,100.4
3740,9,1.625244,2.430245e-04,0.7500,125024.9,0.615,100.9
3760,9,1.633292,2.424403e-04,0.6211,105087.7,0.615,101.4
3780,9,1.616120,2.418538e-04,0.4902,94837.7,0.615,101.8
3800,9,1.613041,2.412651e-04,0.6055,112071.0,0.615,102.3
3820,9,1.625962,2.406741e-04,0.5859,84343.3,0.615,102.8
3840,10,1.607405,2.400809e-04,0.4844,125548.5,0.615,105.2
3860,10,1.623058,2.394854e-04,0.5625,82129.2,0.615,105.6
3880,10,1.596226,2.388878e-04,0.4805,104977.4,0.615,106.1
3900,10,1.612586,2.382880e-04,0.6289,137571.7,0.615,106.6
3920,10,1.612723,2.376860e-04,0.5039,135823.3,0.615,107.0
3940,10,1.635222,2.370819e-04,0.4766,71082.3,0.615,107.5
3960,10,1.611688,2.364756e-04,0.5156,110454.0,0.615,108.0
3980,10,1.602276,2.358673e-04,0.8203,146923.0,0.615,108.4
4000,10,1.619970,2.352568e-04,0.5117,115136.8,0.615,108.8
4020,10,1.594710,2.346442e-04,0.5664,118505.3,0.615,109.2
4040,10,1.624078,2.340295e-04,0.6367,111374.4,0.615,109.6
4060,10,1.609421,2.334128e-04,0.5898,109061.2,0.615,110.0
4080,10,1.627721,2.327940e-04,0.5469,89321.3,0.615,110.5
4100,10,1.622053,2.321732e-04,0.6250,119468.7,0.615,111.0
4120,10,1.609595,2.315503e-04,0.5039,98153.4,0.615,111.5
4140,10,1.629952,2.309255e-04,0.6211,70460.4,0.615,111.9
4160,10,1.615965,2.302987e-04,0.5430,76935.7,0.615,112.4
4180,10,1.631905,2.296699e-04,0.5742,77784.0,0.615,112.9
4200,10,1.604494,2.290392e-04,0.6797,95136.7,0.615,113.4
4220,10,1.596210,2.284065e-04,0.5195,77991.9,0.615,113.9
4240,10,1.588743,2.277719e-04,0.6055,95790.2,0.615,114.4
4260,10,1.629958,2.271353e-04,0.8477,18914.9,0.615,114.9
4280,11,1.608215,2.264969e-04,0.5195,92875.1,0.615,117.2
4300,11,1.637755,2.258566e-04,0.6016,65807.0,0.615,117.7
4320,11,1.603656,2.252145e-04,0.4453,115394.8,0.615,118.2
4340,11,1.616279,2.245705e-04,0.5430,109294.6,0.615,118.6
4360,11,1.625152,2.239246e-04,0.6836,123966.0,0.615,119.1
4380,11,1.602030,2.232770e-04,0.5117,132622.1,0.615,119.6
4400,11,1.639455,2.226275e-04,0.6562,82246.6,0.615,120.0
4420,11,1.656794,2.219763e-04,0.9531,128462.8,0.615,120.5
4440,11,1.614609,2.213233e-04,0.6289,116676.5,0.615,120.9
4460,11,1.607039,2.206685e-04,0.6836,139672.1,0.615,121.3
4480,11,1.621510,2.200121e-04,0.4727,129038.1,0.615,121.6
4500,11,1.614759,2.193538e-04,0.5586,112363.9,0.615,122.1
4520,11,1.619949,2.186939e-04,0.5273,105294.6,0.615,122.5
4540,11,1.608893,2.180323e-04,0.6055,135176.7,0.615,123.0
4560,11,1.629458,2.173691e-04,0.7148,78895.1,0.615,123.5
4580,11,1.607123,2.167042e-04,0.5898,145823.5,0.615,124.0
4600,11,1.619972,2.160376e-04,0.6914,102939.8,0.615,124.5
4620,11,1.634721,2.153694e-04,0.5625,60137.0,0.615,125.0
4640,11,1.596802,2.146996e-04,0.5195,156666.2,0.615,125.4
4660,11,1.606006,2.140283e-04,0.5234,112372.9,0.615,125.9
4680,11,1.641043,2.133553e-04,0.5078,59743.9,0.615,126.4
4700,12,1.602408,2.126808e-04,0.6250,138980.1,0.615,128.8
4720,12,1.592202,2.120048e-04,0.4668,132731.7,0.615,129.2
4740,12,1.631369,2.113272e-04,0.4824,122213.7,0.615,129.7
4760,12,1.604970,2.106481e-04,0.5703,149240.6,0.615,130.2
4780,12,1.600952,2.099676e-04,0.6328,98064.2,0.615,130.6
4800,12,1.608044,2.092856e-04,0.5234,123503.3,0.615,131.1
4820,12,1.583336,2.086021e-04,0.4883,133211.3,0.615,131.6
4840,12,1.618326,2.079171e-04,0.4766,103098.6,0.615,132.1
4860,12,1.611283,2.072308e-04,0.6016,128033.4,0.615,132.5
4880,12,1.627730,2.065430e-04,0.5430,135404.0,0.615,132.9
4900,12,1.598811,2.058539e-04,0.4922,121411.5,0.615,133.3
4920,12,1.617394,2.051634e-04,0.5547,133664.9,0.615,133.7
4940,12,1.597788,2.044715e-04,0.6445,105889.7,0.615,134.1
4960,12,1.631821,2.037783e-04,0.7266,83169.7,0.615,134.5
4980,12,1.610164,2.030838e-04,0.5977,148983.6,0.615,135.0
5000,12,1.598769,2.023880e-04,0.5859,130351.3,0.615,135.4
5020,12,1.602564,2.016909e-04,0.5781,116570.8,0.615,135.9
5040,12,1.639939,2.009925e-04,0.5547,100934.3,0.615,136.4
5060,12,1.607378,2.002928e-04,0.5664,89373.3,0.615,136.8
5080,12,1.617147,1.995920e-04,0.4609,79625.9,0.615,137.3
5100,12,1.605170,1.988899e-04,0.5352,102455.5,0.615,137.8
5120,13,1.608462,1.981866e-04,0.7109,107708.3,0.615,140.2
5140,13,1.591452,1.974821e-04,0.4512,114805.5,0.615,140.6
5160,13,1.613521,1.967765e-04,0.5430,101753.1,0.615,141.1
5180,13,1.621502,1.960697e-04,0.7227,128571.8,0.615,141.6
5200,13,1.619220,1.953618e-04,0.5664,111692.3,0.615,142.1
5220,13,1.594995,1.946528e-04,0.5000,103059.1,0.615,142.6
5240,13,1.597211,1.939426e-04,0.5547,104035.2,0.615,143.1
5260,13,1.633880,1.932314e-04,0.7188,63789.6,0.615,143.6
5280,13,1.622358,1.925191e-04,0.4551,76037.8,0.615,144.0
5300,13,1.634623,1.918058e-04,0.6016,93251.5,0.615,144.4
5320,13,1.610859,1.910915e-04,0.6172,86800.1,0.615,144.8
5340,13,1.634642,1.903762e-04,0.8477,109290.9,0.615,145.2
5360,13,1.612981,1.896598e-04,0.4590,100384.2,0.615,145.6
5380,13,1.618626,1.889425e-04,0.5938,65923.1,0.615,146.0
5400,13,1.622513,1.882242e-04,0.9844,142323.1,0.615,146.5
5420,13,1.605359,1.875050e-04,0.4844,92647.0,0.615,147.0
5440,13,1.618014,1.867849e-04,0.6250,132914.4,0.615,147.5
5460,13,1.619184,1.860639e-04,0.4922,71908.6,0.615,147.9
5480,13,1.633987,1.853420e-04,0.5781,117812.1,0.615,148.4
5500,13,1.617093,1.846192e-04,0.5508,99137.3,0.615,148.8
5520,13,1.613565,1.838955e-04,0.5547,79693.2,0.615,149.3
5540,14,1.618064,1.831711e-04,0.4785,103016.7,0.615,151.6
5560,14,1.619153,1.824458e-04,0.7109,73732.8,0.615,152.1
5580,14,1.610050,1.817197e-04,0.7383,111750.0,0.615,152.6
5600,14,1.606663,1.809929e-04,0.6094,146495.3,0.615,153.0
5620,14,1.615389,1.802652e-04,0.7812,61576.0,0.615,153.4
5640,14,1.601554,1.795369e-04,0.5195,127028.0,0.615,153.9
5660,14,1.598609,1.788078e-04,0.7148,136240.2,0.615,154.4
5680,14,1.603450,1.780780e-04,0.5703,150063.4,0.615,154.8
5700,14,1.594564,1.773475e-04,0.6172,127291.1,0.615,155.3
5720,14,1.606188,1.766164e-04,0.5469,103549.2,0.615,155.7
5740,14,1.604941,1.758845e-04,0.5312,109353.0,0.615,156.1
5760,14,1.600994,1.751521e-04,0.5000,99505.1,0.615,156.5
5780,14,1.600380,1.744190e-04,0.4746,119168.1,0.615,156.9
5800,14,1.600281,1.736854e-04,0.5586,86640.0,0.615,157.3
5820,14,1.631620,1.729511e-04,0.5508,117133.6,0.615,157.7
5840,14,1.606435,1.722163e-04,0.6016,99217.2,0.615,158.2
5860,14,1.636720,1.714810e-04,0.5859,120241.6,0.615,158.7
5880,14,1.613853,1.707451e-04,0.6055,100212.2,0.615,159.2
5900,14,1.631520,1.700087e-04,0.6406,56562.7,0.615,159.6
5920,14,1.606375,1.692718e-04,0.5977,92685.4,0.615,160.1
5940,14,1.604202,1.685345e-04,0.6406,135523.5,0.615,160.6
5960,14,1.591976,1.677967e-04,0.5977,188054.1,0.615,161.1
5980,15,1.596202,1.670584e-04,0.5625,138535.8,0.615,163.4
6000,15,1.600692,1.663198e-04,0.4805,123509.8,0.615,163.9
6020,15,1.609309,1.655807e-04,0.5195,115890.0,0.615,164.4
6040,15,1.613242,1.648413e-04,0.4844,68093.1,0.615,164.8
6060,15,1.581672,1.641014e-04,0.6289,118089.0,0.615,165.3
6080,15,1.607655,1.633613e-04,0.5781,87720.7,0.615,165.8
6100,15,1.621293,1.626208e-04,0.4473,87874.4,0.615,166.3
6120,15,1.612889,1.618800e-04,0.6602,91399.3,0.615,166.7
6140,15,1.604053,1.611389e-04,0.6172,112088.7,0.615,167.2
6160,15,1.614496,1.603976e-04,0.4922,135887.9,0.615,167.6
6180,15,1.597994,1.596559e-04,0.5508,105541.6,0.615,168.0
6200,15,1.629325,1.589141e-04,0.6445,117037.2,0.615,168.4
6220,15,1.599200,1.581720e-04,0.6133,132011.6,0.617,168.8
6240,15,1.607536,1.574297e-04,0.4961,100355.2,0.617,169.2
6260,15,1.626914,1.566873e-04,0.4824,72745.1,0.617,169.7
6280,15,1.604788,1.559447e-04,0.6523,130929.8,0.617,170.1
6300,15,1.646182,1.552019e-04,0.8359,89647.7,0.617,170.6
6320,15,1.617217,1.544590e-04,0.7305,77840.2,0.617,171.1
6340,15,1.613307,1.537160e-04,0.4297,109437.0,0.617,171.6
6360,15,1.619545,1.529729e-04,0.7617,113126.4,0.617,172.0
6380,15,1.598588,1.522298e-04,0.4609,87269.1,0.617,172.4
6400,16,1.622048,1.514865e-04,0.4785,88560.3,0.617,174.8
6420,16,1.610238,1.507433e-04,0.5977,105622.0,0.617,175.2
6440,16,1.600614,1.500000e-04,0.5898,94833.3,0.617,175.7
6460,16,1.607853,1.492567e-04,0.6133,117477.8,0.617,176.2
6480,16,1.594455,1.485135e-04,0.5156,71782.5,0.617,176.7
6500,16,1.623416,1.477702e-04,0.5078,70818.4,0.617,177.2
6520,16,1.599877,1.470271e-04,0.6562,144179.5,0.617,177.6
6540,16,1.596507,1.462840e-04,0.5000,102288.2,0.617,178.1
6560,16,1.615499,1.455410e-04,0.5039,108822.8,0.617,178.6
6580,16,1.603597,1.447981e-04,0.5547,93463.9,0.617,179.1
6600,16,1.594133,1.440553e-04,0.5273,101755.2,0.617,179.5
6620,16,1.603555,1.433127e-04,0.4180,110685.2,0.617,179.9
6640,16,1.625806,1.425703e-04,0.4941,95966.3,0.617,180.2
6660,16,1.613765,1.418280e-04,0.5820,125967.4,0.617,180.6
6680,16,1.645600,1.410859e-04,0.7148,95566.6,0.617,181.0
6700,16,1.583115,1.403441e-04,0.5898,175170.7,0.617,181.5
6720,16,1.592809,1.396024e-04,0.5664,105051.8,0.617,181.9
6740,16,1.620144,1.388611e-04,0.5781,82018.0,0.617,182.4
6760,16,1.636716,1.381200e-04,0.4922,100606.7,0.617,182.9
6780,16,1.606257,1.373792e-04,0.4258,115248.9,0.617,183.3
6800,16,1.609271,1.366387e-04,0.5547,92272.4,0.617,183.8
6820,17,1.602197,1.358986e-04,0.6562,100301.9,0.617,186.2
6840,17,1.588996,1.351587e-04,0.6250,111178.6,0.617,186.7
6860,17,1.602885,1.344193e-04,0.8633,106227.0,0.617,187.1
6880,17,1.595916,1.336802e-04,0.6016,137672.8,0.617,187.6
6900,17,1.594704,1.329416e-04,0.5117,77210.2,0.617,188.1
6920,17,1.599793,1.322033e-04,0.4629,109225.0,0.617,188.5
6940,17,1.605143,1.314655e-04,0.7227,132668.0,0.617,189.0
6960,17,1.618102,1.307282e-04,0.5234,80169.1,0.617,189.4
6980,17,1.602881,1.299913e-04,0.4688,79408.6,0.617,189.9
7000,17,1.614219,1.292549e-04,0.5156,98262.7,0.617,190.3
7020,17,1.599819,1.285190e-04,0.6133,117954.0,0.617,190.8
7040,17,1.602295,1.277837e-04,0.5195,142127.6,0.617,191.2
7060,17,1.586084,1.270489e-04,0.4961,150628.1,0.617,191.6
7080,17,1.598360,1.263146e-04,0.5312,97916.0,0.617,192.0
7100,17,1.608984,1.255810e-04,0.4297,121277.3,0.617,192.4
7120,17,1.633852,1.248479e-04,0.6055,84997.7,0.617,192.8
7140,17,1.605384,1.241155e-04,0.5859,89645.9,0.617,193.3
7160,17,1.620659,1.233836e-04,0.5703,57145.9,0.617,193.7
7180,17,1.588569,1.226525e-04,0.4492,77193.5,0.617,194.2
7200,17,1.625580,1.219220e-04,0.4961,71935.8,0.617,194.6
7220,17,1.614165,1.211922e-04,0.8398,78959.2,0.617,195.1
7240,17,1.613393,1.204631e-04,0.5156,95130.6,0.617,195.6
7260,18,1.619566,1.197348e-04,0.5312,98080.4,0.617,198.0
7280,18,1.625016,1.190071e-04,0.4512,81522.3,0.617,198.4
7300,18,1.636293,1.182803e-04,0.6445,82016.6,0.617,198.9
7320,18,1.586607,1.175542e-04,0.5859,101780.7,0.617,199.4
7340,18,1.594887,1.168289e-04,0.4180,158897.1,0.617,199.9
7360,18,1.592659,1.161045e-04,0.4883,105509.2,0.617,200.4
7380,18,1.605487,1.153808e-04,0.5352,118454.0,0.617,200.8
7400,18,1.584964,1.146580e-04,0.5508,135727.5,0.617,201.3
7420,18,1.593130,1.139361e-04,0.5117,140556.2,0.617,201.8
7440,18,1.598865,1.132151e-04,0.5039,123891.4,0.617,202.2
7460,18,1.598932,1.124950e-04,0.6016,130416.4,0.617,202.7
7480,18,1.614521,1.117758e-04,0.4961,105192.3,0.617,203.1
7500,18,1.608900,1.110575e-04,0.5117,120236.9,0.617,203.5
7520,18,1.609794,1.103402e-04,0.4922,120364.1,0.617,203.9
7540,18,1.620532,1.096238e-04,0.5039,67105.3,0.617,204.3
7560,18,1.614427,1.089085e-04,0.5312,92429.7,0.617,204.7
7580,18,1.610631,1.081942e-04,0.5898,90238.6,0.617,205.2
7600,18,1.600623,1.074809e-04,0.4336,125652.2,0.617,205.6
7620,18,1.620651,1.067686e-04,0.4727,90894.0,0.617,206.1
7640,18,1.602439,1.060574e-04,0.5352,137028.1,0.617,206.5
7660,18,1.597448,1.053472e-04,0.5898,127204.6,0.617,207.0
7680,19,1.601524,1.046382e-04,0.5039,120986.9,0.617,209.4
7700,19,1.637397,1.039303e-04,0.5664,94198.4,0.617,209.8
7720,19,1.605681,1.032235e-04,0.4238,106260.6,0.617,210.3
