transacao_id,categoria_produto,split,valor_total,desconto,valor_total_bucket,desconto_bucket
53,Fertilizantes,train,7456.79,618.33,6,7
54,Defensivos,train,2943.95,325.54,3,5
55,Defensivos,train,4105.83,372.32,4,6
56,Sementes,train,7161.13,461.07,7,7
57,Defensivos,train,50349.32,2274.6,9,9
58,Fertilizantes,train,12624.71,416.99,8,6
59,Fertilizantes,train,746.88,39.52,0,0
60,Fertilizantes,train,2682.04,254.18,2,4
61,Fertilizantes,train,7752.76,404.94,7,5
62,Sementes,train,1932.45,54.12,2,0
63,Defensivos,train,2111.36,66.1,2,1
64,Fertilizantes,train,2055.98,191.32,1,3
65,Sementes,train,18975.98,1267.09,9,9
66,Fertilizantes,train,3543.62,127.62,3,2
67,Sementes,train,8565.85,427.67,8,6
68,Sementes,train,9765.63,631.68,8,8
69,Máquinas,train,13492.31,1090.83,1,2
70,Sementes,train,6874.13,943.99,7,9
71,Defensivos,train,2067.37,117.77,2,2
72,Sementes,train,2286.91,84.35,2,1
73,Sementes,train,16692.98,895.22,9,9
74,Defensivos,train,6826.56,590.69,6,7
75,Fertilizantes,train,7374.9,780.38,6,8
76,Fertilizantes,train,5639.17,454.55,5,6
77,Fertilizantes,train,3888.65,272.99,3,4
78,Fertilizantes,train,1575.36,110.42,1,1
79,Defensivos,train,3804.84,619.71,4,7
80,Fertilizantes,train,6328.15,639.2,6,7
81,Fertilizantes,train,7168.74,276.86,6,4
82,Sementes,train,4535.45,380.26,5,6
83,Máquinas,train,264356.58,29732.02,9,9
84,Defensivos,train,7418.37,205.12,7,3
85,Fertilizantes,train,3471.66,186.02,3,3
86,Fertilizantes,train,2734.12,217.1,2,3
87,Defensivos,train,1041.86,60.43,0,0
88,Fertilizantes,train,3007.26,87.62,2,1
89,Sementes,train,3628.83,266.13,4,5
90,Defensivos,train,6094.35,392.95,6,6
91,Sementes,train,6214.67,95.73,6,1
92,Sementes,train,3597.96,46.36,4,0
93,Fertilizantes,train,10317.0,588.04,8,7
94,Fertilizantes,train,2237.84,228.79,1,3
95,Sementes,train,5078.73,628.32,5,8
96,Fertilizantes,train,15245.46,2328.06,9,9
97,Fertilizantes,train,17360.35,807.32,9,8
98,Máquinas,train,39549.32,4418.45,5,7
99,Fertilizantes,train,8718.01,510.65,7,6
100,Fertilizantes,train,2575.35,88.41,2,1
101,Fertilizantes,train,1886.85,138.05,1,2
102,Sementes,train,7627.85,287.91,7,5
103,Fertilizantes,train,3910.07,248.09,3,4
104,Fertilizantes,train,2756.2,246.7,2,4
105,Sementes,train,7494.44,589.26,7,8
106,Defensivos,train,10583.13,1537.19,8,9
107,Máquinas,train,20046.71,2627.65,2,5
108,Sementes,train,1999.48,78.26,2,1
109,Defensivos,train,2685.74,119.2,2,2
110,Máquinas,train,17409.81,1124.75,2,2
111,Fertilizantes,train,2324.54,292.46,2,4
112,Máquinas,train,8266.88,508.5,0,1
113,Fertilizantes,train,6360.36,880.16,6,8
114,Máquinas,train,169438.98,15647.1,9,9
115,Fertilizantes,train,1199.31,193.85,0,3
116,Defensivos,train,11642.34,672.96,8,8
117,Máquinas,train,48018.12,1682.22,6,3
118,Defensivos,train,22508.7,972.36,9,9
119,Defensivos,train,2020.8,182.56,2,3
120,Máquinas,train,21931.59,1747.85,2,3
121,Defensivos,train,1287.79,46.88,1,0
122,Fertilizantes,train,21789.04,1598.24,9,9
123,Defensivos,train,1198.93,170.51,0,3
124,Defensivos,train,1190.54,114.96,0,2
125,Defensivos,train,810.76,61.05,0,0
126,Defensivos,train,11951.54,458.38,8,6
127,Sementes,train,9848.65,642.47,8,8
128,Fertilizantes,train,16174.28,2130.51,9,9
129,Defensivos,train,2907.03,186.81,3,3
130,Defensivos,train,4071.56,274.75,4,4
131,Defensivos,train,3446.37,428.23,3,6
132,Máquinas,train,197571.21,3283.49,9,6
133,Defensivos,train,5284.12,242.33,5,4
134,Defensivos,train,6453.43,533.09,6,7
135,Máquinas,train,39723.81,3434.15,5,6
136,Defensivos,train,2161.55,238.33,2,4
137,Sementes,train,5511.27,99.21,6,1
138,Sementes,train,4637.36,106.84,5,2
139,Defensivos,train,2570.39,196.39,2,3
140,Defensivos,train,8322.47,444.83,7,6
141,Fertilizantes,train,8273.14,1325.86,7,9
142,Máquinas,train,141471.55,7339.95,9,8
143,Defensivos,train,2643.08,197.16,2,3
144,Defensivos,train,7641.4,639.5,7,8
145,Defensivos,train,6709.01,310.39,6,5
146,Defensivos,train,4867.83,480.94,5,6
147,Defensivos,train,5968.81,131.04,6,2
148,Fertilizantes,train,2141.33,294.35,1,4
149,Fertilizantes,train,2019.95,164.3,1,2
150,Sementes,train,3860.74,149.28,4,3
151,Máquinas,train,10144.37,777.23,1,1
152,Defensivos,train,4162.01,219.79,4,4
153,Máquinas,train,38386.78,742.52,5,1
154,Fertilizantes,train,2300.66,366.39,2,5
155,Defensivos,train,2282.38,212.39,2,3
156,Defensivos,train,2675.95,186.45,2,3
157,Fertilizantes,train,10070.55,385.23,8,5
158,Máquinas,train,225461.2,12615.17,9,9
159,Sementes,train,6659.38,859.04,7,9
160,Fertilizantes,train,5572.48,274.52,5,4
161,Sementes,train,4634.12,441.86,5,7
162,Sementes,train,2232.0,166.62,2,3
163,Máquinas,train,8673.74,437.99,0,0
164,Máquinas,train,49536.85,3771.35,6,6
165,Fertilizantes,train,936.12,118.22,0,1
166,Sementes,train,8675.97,1204.27,8,9
167,Defensivos,train,10167.36,1404.84,8,9
168,Sementes,train,2728.34,169.86,3,3
169,Sementes,train,5835.36,232.66,6,4
170,Máquinas,train,16415.88,632.52,2,1
171,Máquinas,train,56923.5,5030.4,6,7
172,Fertilizantes,train,28003.03,1730.77,9,9
173,Fertilizantes,train,7182.87,406.83,6,5
174,Fertilizantes,train,4304.41,333.74,4,5
175,Máquinas,train,73144.5,10919.01,7,9
176,Defensivos,train,6022.36,616.09,6,7
177,Defensivos,train,7776.89,879.19,7,8
178,Fertilizantes,train,3921.52,214.64,3,3
179,Sementes,train,1334.9,60.5,1,1
180,Defensivos,train,3299.92,263.92,3,4
181,Defensivos,train,6575.0,491.62,6,7
182,Sementes,train,31284.22,1838.38,9,9
183,Defensivos,train,788.67,86.93,0,1
184,Defensivos,train,454.33,32.3,0,0
185,Fertilizantes,train,816.85,43.24,0,0
186,Defensivos,train,5509.54,771.08,5,8
187,Defensivos,train,10799.4,323.56,8,5
188,Máquinas,train,25472.34,1220.58,3,2
189,Máquinas,train,44097.78,5631.9,5,8
190,Defensivos,train,24271.9,2062.0,9,9
191,Máquinas,train,21670.17,1093.07,2,2
192,Máquinas,train,31370.53,1196.69,4,2
193,Defensivos,train,2939.35,338.75,3,5
194,Defensivos,train,18681.0,2572.6,9,9
195,Fertilizantes,train,12491.57,781.73,8,8
196,Máquinas,train,72448.39,7001.05,7,8
197,Fertilizantes,train,6350.66,234.38,6,3
198,Fertilizantes,train,8893.77,957.12,7,8
199,Fertilizantes,train,9578.32,620.4,7,7
200,Máquinas,train,9607.01,715.41,0,1
201,Máquinas,train,16515.72,1138.06,2,2
202,Defensivos,train,3534.07,322.81,3,5
203,Fertilizantes,train,2916.73,121.22,2,1
204,Fertilizantes,train,4549.53,307.75,4,4
205,Máquinas,train,5413.64,406.41,0,0
206,Defensivos,train,4992.7,197.55,5,3
207,Fertilizantes,train,5466.79,73.67,5,1
208,Máquinas,train,22330.09,3362.39,2,6
209,Defensivos,train,1480.98,91.86,1,1
210,Fertilizantes,train,4886.12,336.07,4,5
211,Fertilizantes,train,2601.1,79.1,2,1
212,Fertilizantes,train,2027.09,165.69,1,2
213,Fertilizantes,train,4002.64,79.66,3,1
214,Sementes,train,6935.84,982.08,7,9
215,Sementes,train,6698.74,382.86,7,6
216,Fertilizantes,train,3568.89,115.17,3,1
217,Sementes,train,1199.25,92.71,1,1
218,Sementes,train,9873.96,719.16,8,8
219,Máquinas,train,30311.54,3995.94,4,6
220,Máquinas,train,64177.29,3222.91,7,6
221,Fertilizantes,train,9652.82,1077.28,8,9
222,Defensivos,train,3520.6,233.57,3,4
223,Defensivos,train,5202.42,252.3,5,4
224,Sementes,train,570.41,45.06,0,0
225,Máquinas,train,13981.1,888.16,1,2
226,Defensivos,train,6881.68,1157.24,6,9
227,Defensivos,train,1456.15,58.83,1,0
228,Fertilizantes,train,14329.18,1759.22,9,9
229,Defensivos,train,14743.73,1007.77,9,9
230,Fertilizantes,train,4974.36,311.9,4,4
231,Sementes,train,9262.9,324.7,8,5
232,Máquinas,train,32149.74,3275.06,4,6
233,Fertilizantes,train,5270.86,268.34,5,4
234,Sementes,train,5559.25,284.07,6,5
235,Máquinas,train,61229.14,2467.66,7,5
236,Fertilizantes,train,15300.31,568.43,9,7
237,Sementes,train,5398.24,767.71,6,8
238,Defensivos,train,23769.11,1753.8,9,9
239,Sementes,train,7059.27,436.03,7,7
240,Sementes,train,4108.11,346.24,4,6
241,Fertilizantes,train,6386.8,54.28,6,0
242,Máquinas,train,142191.46,2487.94,9,5
243,Defensivos,train,2420.73,280.17,2,4
244,Defensivos,train,1445.53,186.62,1,3
245,Defensivos,train,7047.29,346.93,6,5
246,Sementes,train,4415.28,353.84,5,6
247,Sementes,train,4235.45,645.52,5,8
248,Fertilizantes,train,7576.29,278.67,6,4
249,Sementes,train,5018.72,664.06,5,8
250,Fertilizantes,train,1213.24,39.04,0,0
251,Máquinas,train,40756.82,1788.13,5,4
252,Sementes,train,871.74,127.53,0,2
253,Defensivos,train,2472.34,264.89,2,4
254,Máquinas,train,17731.1,2830.77,2,5
255,Defensivos,train,452.69,46.69,0,0
256,Sementes,train,6639.75,252.1,7,4
257,Fertilizantes,train,8095.06,248.78,7,4
258,Fertilizantes,train,1052.64,54.39,0,0
259,Defensivos,train,6204.08,162.7,6,3
260,Sementes,train,1920.15,112.47,2,2
261,Defensivos,train,6226.53,655.86,6,8
262,Sementes,train,2193.92,104.05,2,2
263,Sementes,train,3734.83,146.3,4,2
264,Defensivos,train,8563.79,577.21,7,7
265,Defensivos,train,1750.36,98.46,1,1
266,Fertilizantes,train,1352.26,54.61,0,0
267,Fertilizantes,train,1562.15,128.98,1,2
268,Defensivos,train,2816.55,273.11,3,4
269,Fertilizantes,train,11130.07,623.48,8,7
270,Defensivos,train,2316.28,120.3,2,2
271,Sementes,train,3007.06,81.2,3,1
272,Fertilizantes,train,1543.9,99.82,1,1
273,Defensivos,train,6249.6,212.4,6,3
274,Defensivos,train,5598.13,596.31,5,7
275,Defensivos,train,797.39,42.46,0,0
276,Sementes,train,3727.44,409.62,4,6
277,Fertilizantes,train,8697.52,391.48,7,5
278,Fertilizantes,train,2558.08,130.22,2,2
279,Defensivos,train,2868.04,47.3,3,0
280,Sementes,train,552.97,31.63,0,0
281,Sementes,train,2310.96,379.88,2,6
282,Sementes,train,5920.27,174.11,6,3
283,Sementes,train,11929.16,1345.64,9,9
284,Defensivos,train,2117.96,126.56,2,2
285,Defensivos,train,8187.3,407.42,7,6
286,Fertilizantes,train,5351.58,436.59,5,6
287,Defensivos,train,30372.14,1112.34,9,9
288,Defensivos,train,5872.37,366.87,6,5
289,Sementes,train,2893.58,119.2,3,2
290,Defensivos,train,16159.15,218.68,9,3
291,Fertilizantes,train,7304.49,757.01,6,8
292,Defensivos,train,9240.41,988.51,8,9
293,Fertilizantes,train,1492.98,81.88,1,1
294,Defensivos,train,6965.32,285.98,6,4
295,Fertilizantes,train,4873.26,229.98,4,3
296,Fertilizantes,train,6216.41,571.0,5,7
297,Sementes,train,2304.83,161.34,2,3
298,Sementes,train,8532.37,1023.87,8,9
299,Sementes,train,5110.15,321.35,5,5
300,Fertilizantes,train,7126.95,760.95,6,8
301,Fertilizantes,train,1828.41,104.78,1,1
302,Defensivos,train,5411.42,425.33,5,6
303,Defensivos,train,5059.59,343.02,5,5
304,Defensivos,train,22481.4,1901.4,9,9
305,Defensivos,train,441.27,23.91,0,0
306,Defensivos,train,7572.3,591.96,7,7
307,Fertilizantes,train,3020.16,155.64,2,2
308,Sementes,train,7885.41,532.65,8,7
309,Sementes,train,1862.53,50.4,2,0
310,Defensivos,train,2044.14,235.66,2,4
311,Sementes,train,23596.35,2210.53,9,9
312,Sementes,train,9029.48,597.55,8,8
313,Fertilizantes,train,2102.33,159.28,1,2
314,Sementes,train,5642.62,244.7,6,4
315,Máquinas,train,22762.85,1576.91,3,3
316,Sementes,train,548.11,31.67,0,0
317,Sementes,train,2957.48,146.17,3,2
318,Defensivos,train,1259.64,161.98,1,3
319,Fertilizantes,train,4168.85,267.4,3,4
320,Defensivos,train,6944.38,972.74,6,9
321,Sementes,train,4775.09,499.63,5,7
322,Defensivos,train,11432.37,1608.63,8,9
323,Sementes,train,5935.27,181.49,6,3
324,Sementes,train,10175.97,206.88,8,4
325,Fertilizantes,train,16540.73,417.12,9,6
326,Fertilizantes,train,5055.04,287.41,4,4
327,Sementes,train,5676.01,781.67,6,8
328,Defensivos,train,6462.81,172.53,6,3
329,Sementes,train,1148.46,39.36,1,0
330,Fertilizantes,train,4844.45,715.96,4,8
331,Defensivos,train,8756.83,312.25,7,5
332,Defensivos,train,1296.33,35.05,1,0
333,Sementes,train,9395.18,706.02,8,8
334,Máquinas,train,54930.55,4260.56,6,7
335,Sementes,train,3779.21,281.49,4,5
336,Defensivos,train,2434.37,241.65,2,4
337,Sementes,train,2788.67,268.13,3,5
338,Defensivos,train,9204.21,405.11,8,6
339,Defensivos,train,19946.09,1877.96,9,9
340,Defensivos,train,1948.65,53.47,1,0
341,Defensivos,train,6888.61,524.11,6,7
342,Sementes,train,2410.42,50.15,2,0
343,Sementes,train,7200.66,604.42,7,8
344,Máquinas,train,99275.22,4356.81,8,7
345,Fertilizantes,train,5091.88,308.3,4,4
346,Defensivos,train,13048.62,706.8,9,8
347,Defensivos,train,6868.99,520.61,6,7
348,Fertilizantes,train,2998.62,24.88,2,0
349,Fertilizantes,train,385.64,38.9,0,0
350,Defensivos,train,4230.98,315.7,4,5
351,Fertilizantes,train,1088.56,22.55,0,0
352,Máquinas,train,18073.92,2159.18,2,4
353,Defensivos,train,17709.42,1265.58,9,9
354,Defensivos,train,8641.59,302.41,7,5
355,Defensivos,train,2859.74,148.18,3,2
356,Fertilizantes,train,10172.06,1422.55,8,9
357,Máquinas,train,8312.18,645.35,0,1
358,Fertilizantes,train,8147.34,1128.58,7,9
359,Sementes,train,1891.7,86.35,2,1
360,Defensivos,train,12014.4,1356.09,8,9
361,Máquinas,train,14288.43,834.85,1,1
362,Fertilizantes,train,9981.18,831.66,8,8
363,Máquinas,train,65580.38,1857.32,7,4
364,Defensivos,train,2170.47,162.49,2,3
365,Sementes,train,5238.6,550.4,6,7
366,Defensivos,train,6738.47,569.57,6,7
367,Máquinas,train,26443.48,1493.48,3,3
368,Fertilizantes,train,1272.7,35.98,0,0
369,Máquinas,train,14371.2,1948.35,1,4
370,Fertilizantes,train,5034.74,553.5,4,7
371,Fertilizantes,train,6989.37,458.88,6,6
372,Fertilizantes,train,6420.73,1006.13,6,9
373,Defensivos,train,1882.76,230.24,1,4
374,Fertilizantes,train,4300.22,248.73,4,4
375,Sementes,train,4245.05,32.07,5,0
376,Defensivos,train,6880.68,276.82,6,4
377,Máquinas,train,69411.48,3838.42,7,6
378,Defensivos,train,14765.99,968.31,9,9
379,Defensivos,train,19459.17,2049.79,9,9
380,Defensivos,train,8752.57,427.79,7,6
381,Sementes,train,5246.91,344.67,6,6
382,Fertilizantes,train,6858.44,155.62,6,2
383,Fertilizantes,train,5127.79,370.19,4,5
384,Fertilizantes,train,4928.15,10.65,4,0
385,Máquinas,train,123572.66,5565.5,9,8
386,Defensivos,train,1956.86,229.54,1,4
387,Sementes,train,3141.07,223.85,3,4
388,Fertilizantes,train,4155.66,309.18,3,4
389,Fertilizantes,train,1919.0,195.74,1,3
390,Máquinas,train,26242.04,2939.51,3,5
391,Sementes,train,2277.97,169.08,2,3
392,Fertilizantes,train,5650.45,490.43,5,6
393,Sementes,train,6896.22,338.94,7,5
394,Defensivos,train,18109.85,204.97,9,3
395,Defensivos,train,6650.89,183.76,6,3
396,Fertilizantes,train,3029.62,323.1,2,4
397,Sementes,train,5066.38,122.5,5,2
398,Sementes,train,1952.49,165.12,2,3
399,Defensivos,train,3053.01,207.47,3,3
400,Sementes,train,1406.92,77.08,1,1
401,Fertilizantes,train,2305.74,80.66,2,1
402,Sementes,train,18955.85,2005.55,9,9
403,Máquinas,train,24281.66,1769.94,3,4
404,Defensivos,train,4518.75,323.65,4,5
405,Máquinas,train,70840.31,3366.58,7,6
406,Defensivos,train,11095.23,661.57,8,8
407,Defensivos,train,1081.3,32.17,0,0
408,Defensivos,train,8165.27,747.73,7,8
409,Defensivos,train,9828.4,714.96,8,8
410,Sementes,train,936.61,99.67,0,1
411,Máquinas,train,8245.76,412.84,0,0
412,Fertilizantes,train,16268.93,1163.44,9,9
413,Fertilizantes,train,3231.18,175.42,3,2
414,Fertilizantes,train,8067.28,934.04,7,8
415,Defensivos,train,14052.13,1483.88,9,9
416,Defensivos,train,1536.45,181.38,1,3
417,Defensivos,train,7687.51,466.04,7,6
418,Defensivos,train,8523.13,1114.16,7,9
419,Fertilizantes,train,12148.95,505.75,8,6
420,Fertilizantes,train,2337.04,310.33,2,4
421,Defensivos,train,12772.98,1059.54,9,9
422,Sementes,train,12694.32,473.73,9,7
423,Fertilizantes,train,2246.29,213.05,1,3
424,Máquinas,train,5274.03,337.79,0,0
425,Fertilizantes,train,3808.85,357.49,3,5
426,Máquinas,train,6252.98,705.48,0,1
427,Defensivos,train,2215.93,186.55,2,3
428,Sementes,train,7850.75,855.49,7,9
429,Sementes,train,2878.58,38.53,3,0
430,Defensivos,train,3278.38,550.9,3,7
431,Sementes,train,2071.52,30.68,2,0
432,Defensivos,train,1014.37,88.21,0,1
433,Máquinas,train,64599.75,8623.35,7,9
434,Fertilizantes,train,6477.76,322.34,6,4
435,Fertilizantes,train,2430.11,168.19,2,2
436,Defensivos,train,8773.69,415.21,7,6
437,Fertilizantes,train,7248.68,658.97,6,7
438,Sementes,train,3218.81,125.68,3,2
439,Defensivos,train,1403.61,77.43,1,1
440,Fertilizantes,train,2531.69,92.54,2,1
441,Sementes,train,4965.95,601.41,5,8
442,Defensivos,train,14351.75,713.77,9,8
443,Defensivos,train,2545.31,158.29,2,2
444,Fertilizantes,train,704.65,39.77,0,0
445,Máquinas,train,18950.39,1158.13,2,2
446,Máquinas,train,35187.51,1257.13,4,2
447,Defensivos,train,2157.14,159.68,2,2
448,Defensivos,train,4436.52,207.66,4,3
449,Fertilizantes,train,1510.75,95.82,1,1
450,Fertilizantes,train,2922.86,112.74,2,1
451,Defensivos,train,11207.66,315.44,8,5
452,Máquinas,train,38728.57,2773.93,5,5
453,Defensivos,train,953.15,72.35,0,1
454,Defensivos,train,4716.21,266.79,5,4
455,Defensivos,train,8121.22,575.58,7,7
456,Máquinas,train,72220.5,5801.58,7,8
457,Defensivos,train,8064.62,571.7,7,7
458,Defensivos,train,1431.67,110.0,1,2
459,Fertilizantes,train,3062.25,480.81,2,6
460,Fertilizantes,train,1658.18,94.98,1,1
461,Defensivos,train,4564.87,439.73,4,6
462,Defensivos,train,3036.85,158.35,3,2
463,Fertilizantes,train,9676.49,1242.21,8,9
464,Máquinas,train,16122.71,769.91,2,1
465,Máquinas,train,189979.82,13953.14,9,9
466,Sementes,train,10057.36,567.77,8,7
467,Máquinas,train,33772.9,1216.34,4,2
468,Defensivos,train,1912.14,92.56,1,1
469,Defensivos,train,2323.36,92.03,2,1
470,Máquinas,train,95601.11,6482.41,8,8
471,Sementes,train,2328.13,15.01,2,0
472,Sementes,train,6990.81,819.09,7,8
473,Sementes,train,2800.53,231.93,3,4
474,Fertilizantes,train,850.84,52.43,0,0
475,Fertilizantes,train,5149.21,301.54,4,4
476,Sementes,train,2003.04,35.85,2,0
477,Máquinas,train,68915.1,1921.12,7,4
478,Máquinas,train,70771.04,5597.06,7,8
479,Fertilizantes,train,8340.06,469.83,7,6
480,Sementes,train,13778.83,1218.57,9,9
481,Sementes,train,5786.41,751.55,6,8
482,Máquinas,train,162379.51,19582.55,9,9
483,Fertilizantes,train,1577.83,163.17,1,2
484,Fertilizantes,train,4320.37,216.67,4,3
485,Fertilizantes,train,29517.74,3451.16,9,9
486,Sementes,train,5964.43,91.41,6,1
487,Defensivos,train,2891.97,431.58,3,6
488,Defensivos,train,5706.85,285.31,5,4
489,Defensivos,train,1294.61,17.67,1,0
490,Fertilizantes,train,1728.92,97.0,1,1
491,Fertilizantes,train,13880.18,1541.23,9,9
492,Fertilizantes,train,3991.83,240.97,3,3
493,Máquinas,train,7869.45,474.43,0,0
494,Sementes,train,3844.91,548.01,4,7
495,Sementes,train,5313.31,528.65,6,7
496,Defensivos,train,17153.46,1349.55,9,9
497,Defensivos,train,3178.9,444.9,3,6
498,Máquinas,train,5904.09,642.54,0,1
499,Defensivos,train,13868.0,1902.7,9,9
500,Fertilizantes,train,6539.5,314.18,6,4
501,Fertilizantes,train,3317.87,56.11,3,0
502,Fertilizantes,train,578.09,71.59,0,1
503,Defensivos,train,1005.24,112.6,0,2
504,Defensivos,train,17709.62,1139.02,9,9
505,Sementes,train,9286.0,938.32,8,9
506,Fertilizantes,train,2241.7,157.6,1,2
507,Fertilizantes,train,1415.93,112.91,1,1
508,Fertilizantes,train,3149.54,105.31,2,1
509,Defensivos,train,6146.99,263.26,6,4
510,Sementes,train,6785.05,377.59,7,6
511,Fertilizantes,train,8272.0,58.88,7,0
512,Defensivos,train,4821.58,666.82,5,8
513,Defensivos,train,2949.53,34.07,3,0
514,Fertilizantes,train,31200.99,1525.31,9,9
515,Fertilizantes,train,6085.93,182.83,5,3
516,Sementes,train,2563.42,117.74,2,2
517,Sementes,train,2468.86,159.78,2,3
518,Defensivos,train,4382.66,249.58,4,4
519,Defensivos,train,1933.74,52.11,1,0
520,Sementes,train,2830.21,331.67,3,5
521,Fertilizantes,train,882.39,104.31,0,1
522,Fertilizantes,train,1565.63,50.89,1,0
523,Sementes,train,3046.36,147.64,3,2
524,Sementes,train,5106.91,395.69,5,6
525,Defensivos,train,3459.54,167.86,3,3
526,Defensivos,train,2947.45,159.26,3,2
527,Sementes,train,11514.72,470.78,9,7
528,Fertilizantes,train,4444.47,608.9,4,7
529,Defensivos,train,6262.62,436.58,6,6
530,Máquinas,train,18486.11,683.05,2,1
531,Defensivos,train,2245.0,137.63,2,2
532,Defensivos,train,6033.64,136.61,6,2
533,Sementes,train,2001.53,192.55,2,3
534,Sementes,train,2592.7,110.26,2,2
535,Fertilizantes,train,3265.04,161.88,3,2
536,Fertilizantes,train,16486.39,867.65,9,8
537,Fertilizantes,train,10236.02,669.9,8,7
538,Fertilizantes,train,2923.21,118.28,2,1
539,Fertilizantes,train,8656.8,177.12,7,2
540,Defensivos,train,3703.04,331.62,4,5
541,Sementes,train,7665.02,282.46,7,5
542,Defensivos,train,4526.64,566.31,4,7
543,Sementes,train,5906.92,142.44,6,2
544,Fertilizantes,train,15804.06,489.74,9,6
545,Fertilizantes,train,4267.24,390.8,4,5
546,Defensivos,train,638.62,14.3,0,0
547,Fertilizantes,train,20525.42,1881.07,9,9
548,Máquinas,train,58156.49,2562.51,6,5
549,Sementes,train,2968.47,450.57,3,7
550,Defensivos,train,9589.02,596.18,8,7
551,Fertilizantes,train,3826.27,332.39,3,5
552,Defensivos,train,2276.24,283.56,2,4
553,Máquinas,train,12019.72,557.44,1,1
554,Máquinas,train,39951.92,1775.98,5,4
555,Fertilizantes,train,1443.64,89.39,1,1
556,Fertilizantes,train,1438.49,124.11,1,2
557,Fertilizantes,train,5956.78,608.02,5,7
558,Fertilizantes,train,1119.44,146.4,0,2
559,Fertilizantes,train,8866.85,876.85,7,8
560,Defensivos,train,378.69,36.09,0,0
561,Defensivos,train,2491.79,316.01,2,5
562,Fertilizantes,train,1639.91,103.9,1,1
563,Defensivos,train,1949.15,76.73,1,1
564,Defensivos,train,5052.13,339.14,5,5
565,Fertilizantes,train,8070.06,939.24,7,8
566,Máquinas,train,49447.5,1147.62,6,2
567,Defensivos,train,5809.48,633.16,6,7
568,Sementes,train,5110.68,350.58,5,6
569,Sementes,train,9094.62,887.31,8,9
570,Sementes,train,3789.74,30.67,4,0
571,Fertilizantes,train,3612.62,271.58,3,4
572,Fertilizantes,train,3638.48,376.48,3,5
573,Defensivos,train,3657.73,545.56,4,7
574,Fertilizantes,train,5019.61,245.09,4,4
575,Sementes,train,8128.64,995.14,8,9
576,Sementes,train,1140.11,91.32,1,1
577,Fertilizantes,train,1711.21,74.17,1,1
578,Sementes,train,1327.77,85.32,1,1
579,Sementes,train,7833.39,335.97,7,5
580,Sementes,train,4922.25,391.99,5,6
581,Fertilizantes,train,5426.52,244.02,5,3
582,Sementes,train,14910.57,382.5,9,6
583,Fertilizantes,train,638.16,32.3,0,0
584,Sementes,train,11475.21,1172.15,9,9
585,Fertilizantes,train,15290.59,721.51,9,8
586,Fertilizantes,train,1923.04,43.08,1,0
587,Defensivos,train,892.29,43.41,0,0
588,Fertilizantes,train,11144.72,596.98,8,7
589,Defensivos,train,985.09,66.57,0,1
590,Sementes,train,10667.5,192.26,9,3
